21/12/2024 00:02 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @22 | buy_filled | 0.62 | 223.95000000
21/12/2024 00:15 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @22 | buy_filled | 0.62 | 244.07000000
21/12/2024 00:16 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @22 | buy_filled | 0.62 | 242.99000000
21/12/2024 13:10 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @76 | buy_filled | 0.92 | 215.81000000
21/12/2024 13:10 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @76 | buy_filled | 0.92 | 107.09000000
21/12/2024 17:28 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @22 | buy_filled | 0.62 | 0.35000000
21/12/2024 17:58 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @22 | sell_filled | 0.62 | 300.74000000
21/12/2024 21:09 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @22 | sell_filled | 0.62 | 0.43000000
22/12/2024 01:42 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 21,492.88000000
22/12/2024 01:43 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @73 | buy_filled | 1.04 | 96.65000000
22/12/2024 01:44 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 18,089.38000000
30/12/2024 23:52 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 82,653.06000000
30/12/2024 23:59 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @17 | buy_filled | 0.00 | 165,231.00000000
02/01/2025 14:19 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 2,138.98000000
02/01/2025 14:33 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 5,797.68000000
02/01/2025 15:15 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 10,467.94000000
02/01/2025 15:16 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 2,708.90000000
02/01/2025 17:40 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 114.95000000
02/01/2025 17:40 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 3,707.27000000
02/01/2025 17:40 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 26,150.62000000
02/01/2025 18:16 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 6,551.69000000
02/01/2025 18:16 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 7,183.33000000
02/01/2025 18:42 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 28,593.45000000
02/01/2025 19:24 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 6,258.94000000
02/01/2025 19:25 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 14,163.60000000
02/01/2025 20:40 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 4,742.17000000
02/01/2025 22:00 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 9,865.82000000
02/01/2025 22:03 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 3,126.80000000
03/01/2025 01:00 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 0.02000000
03/01/2025 02:05 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 19,401.81000000
03/01/2025 02:34 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 2,340.67000000
03/01/2025 04:48 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 2,062.27000000
03/01/2025 06:22 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 726.08000000
03/01/2025 06:29 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 6,338.36000000
03/01/2025 11:36 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 1,697.64000000
03/01/2025 16:08 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 15,000.00000000
03/01/2025 17:44 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 5,149.75000000
03/01/2025 19:16 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 6,306.00000000
03/01/2025 23:28 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 27,500.95000000
04/01/2025 02:16 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @73 | buy_filled | 0.91 | 110.00000000
04/01/2025 06:17 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 1,311.01000000
04/01/2025 06:34 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 31,083.93000000
04/01/2025 07:00 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @73 | buy_filled | 0.91 | 0.02000000
04/01/2025 09:11 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 5,638.58000000
04/01/2025 09:11 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 23,341.28000000
04/01/2025 09:11 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 5,973.69000000
04/01/2025 09:17 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 17,956.11000000
04/01/2025 09:27 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @17 | buy_filled | 0.00 | 857.00000000
04/01/2025 09:29 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @17 | buy_filled | 0.00 | 28,194.00000000
04/01/2025 09:29 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @17 | buy_filled | 0.00 | 12,937.00000000
04/01/2025 09:29 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @17 | buy_filled | 0.00 | 27,276.00000000
04/01/2025 09:29 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @17 | buy_filled | 0.00 | 14,283.00000000
04/01/2025 09:30 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @17 | buy_filled | 0.00 | 24,383.00000000
04/01/2025 09:30 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @17 | buy_filled | 0.00 | 20,385.00000000
04/01/2025 09:31 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @17 | buy_filled | 0.00 | 20,772.00000000
04/01/2025 14:26 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @104 | buy_filled | 1.55 | 161.29000000
04/01/2025 15:02 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @93 | buy_filled | 0.00 | 425,000.00000000
04/01/2025 15:09 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @25 | buy_filled | 0.00 | 64,996.36000000
04/01/2025 15:10 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @93 | buy_filled | 0.00 | 3,945.00000000
04/01/2025 15:14 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @84 | buy_filled | 1.24 | 81.65000000
04/01/2025 17:49 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 7,561.91000000
04/01/2025 21:15 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 3,298.17000000
04/01/2025 22:45 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 2,667.32000000
05/01/2025 01:00 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 0.04000000
05/01/2025 01:14 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 6,286.55000000
05/01/2025 18:45 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 7,693.36000000
05/01/2025 23:46 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 205.83000000
06/01/2025 01:00 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 0.01000000
06/01/2025 06:14 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 6,499.26000000
06/01/2025 07:44 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 2,392.14000000
06/01/2025 07:48 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 14,444.87000000
06/01/2025 08:33 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 4,651.44000000
06/01/2025 13:31 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 5,968.42000000
06/01/2025 15:52 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 3,548.80000000
06/01/2025 16:39 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 6,544.59000000
06/01/2025 16:55 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 4,867.86000000
06/01/2025 16:55 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 38,339.49000000
06/01/2025 20:08 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 2,413.70000000
06/01/2025 20:12 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 908.10000000
07/01/2025 00:28 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 4,359.45000000
07/01/2025 01:00 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 0.01000000
07/01/2025 01:32 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 6,344.06000000
07/01/2025 15:31 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 958.77000000
07/01/2025 16:12 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 6,144.41000000
07/01/2025 16:50 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 7,589.08000000
07/01/2025 20:26 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 2,031.52000000
07/01/2025 20:50 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 47,424.60000000
07/01/2025 20:56 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 2,427.58000000
07/01/2025 21:15 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 4,402.18000000
07/01/2025 22:54 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 8,767.10000000
07/01/2025 23:08 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 57,542.35000000
08/01/2025 05:15 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 4,511.07000000
08/01/2025 07:31 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 0.12000000
08/01/2025 10:52 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 15,085.60000000
08/01/2025 11:07 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 6,778.72000000
08/01/2025 11:09 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 15,694.50000000
08/01/2025 11:19 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 13,518.75000000
